date,salinity,precip_in
2024-06-27,20.948958333333334,0.23
2024-06-28,20.023958333333333,0.0
2024-06-29,21.110869565217392,0.06
2024-06-30,21.644791666666666,0.18
2024-07-01,20.096875,0.0
2024-07-02,19.994791666666668,0.0
2024-07-03,20.773958333333333,0.0
2024-07-04,22.034375,0.04
2024-07-05,21.949473684210524,0.1
2024-07-06,21.556250000000002,0.05
2024-07-07,20.516666666666666,0.0
2024-07-08,20.216666666666665,0.0
2024-07-09,20.59578947368421,0.0
2024-07-10,20.809574468085106,0.0
2024-07-11,21.38,0.11
2024-07-12,19.603157894736842,0.06
2024-07-13,18.971875,2.06
2024-07-14,18.402083333333334,0.0
2024-07-15,19.36842105263158,0.12
2024-07-16,18.66086956521739,0.0
2024-07-17,19.221739130434784,1.46
2024-07-18,,0.0
2024-07-19,19.001041666666666,0.0
2024-07-20,20.175824175824175,0.0
2024-07-21,21.478125000000002,0.0
2024-07-22,21.563157894736843,0.01
2024-07-23,21.947916666666668,0.11
2024-07-24,21.532631578947367,0.0
2024-07-25,20.91720430107527,0.0
2024-07-26,20.265591397849462,0.0
2024-07-27,19.32340425531915,0.0
2024-07-28,18.9,0.0
2024-07-29,17.844791666666666,0.05
2024-07-30,16.184375,0.0
2024-07-31,16.886458333333334,0.03
2024-08-01,16.22421052631579,0.0
2024-08-02,14.693617021276596,0.52
2024-08-03,15.014583333333334,0.73
2024-08-04,16.849473684210526,0.17
2024-08-05,18.460416666666667,0.0
2024-08-06,18.546315789473685,2.08
2024-08-07,17.532631578947367,0.13
2024-08-08,17.21875,0.36
2024-08-09,17.419780219780222,0.11
2024-08-10,17.926315789473684,0.0
2024-08-11,14.398947368421053,0.0
2024-08-12,13.685416666666667,0.0
2024-08-13,13.44468085106383,0.0
2024-08-14,14.692708333333334,0.0
2024-08-15,15.635789473684211,0.0
2024-08-16,16.41578947368421,0.0
2024-08-17,18.76489361702128,0.04
2024-08-18,20.3,2.29
2024-08-19,20.593684210526316,0.25
2024-08-20,19.811458333333334,0.0
2024-08-21,19.478125000000002,0.0
2024-08-22,19.516666666666666,0.0
2024-08-23,19.056250000000002,0.0
2024-08-24,18.852083333333333,0.0
2024-08-25,18.80212765957447,0.0
2024-08-26,18.517894736842106,0.04
2024-08-27,18.326315789473686,0.0
2024-08-28,18.904166666666665,0.0
2024-08-29,18.614583333333332,0.0
2024-08-30,19.135416666666668,0.3
2024-08-31,19.02,0.0
2024-09-01,19.814583333333335,0.0
2024-09-02,19.669473684210526,0.0
2024-09-03,19.715625,0.0
2024-09-04,19.751578947368422,0.0
2024-09-05,20.211458333333333,0.0
2024-09-06,20.841666666666665,0.0
2024-09-07,21.354166666666668,0.24
2024-09-08,20.115624999999998,0.0
2024-09-09,18.545833333333334,0.0
2024-09-10,18.615624999999998,0.0
2024-09-11,18.74042553191489,0.0
